DB Subjects count: 112
  DB Sub: id=1, name='English', class='I', c_norm='I', s_norm='english'
  DB Sub: id=2, name='Bengali', class='I', c_norm='I', s_norm='bengali'
  DB Sub: id=3, name='Arabic', class='I', c_norm='I', s_norm='arabic'
  DB Sub: id=4, name='Mathematics', class='I', c_norm='I', s_norm='mathematics'
  DB Sub: id=5, name='Science', class='I', c_norm='I', s_norm='science'
  DB Sub: id=6, name='G.K.', class='I', c_norm='I', s_norm='general knowledge'
  DB Sub: id=7, name='E.V.S', class='I', c_norm='I', s_norm='science'
  DB Sub: id=8, name='Hindi', class='I', c_norm='I', s_norm='hindi'
  DB Sub: id=9, name='Art', class='I', c_norm='I', s_norm='art'
  DB Sub: id=10, name='Physical Education', class='I', c_norm='I', s_norm='physical education'
  DB Sub: id=11, name='Work Education', class='I', c_norm='I', s_norm='work education'
  DB Sub: id=12, name='Hand Writing', class='I', c_norm='I', s_norm='hand writing'
  DB Sub: id=13, name='Behaviour', class='I', c_norm='I', s_norm='behaviour'
  DB Sub: id=14, name='Attendance', class='I', c_norm='I', s_norm='attendance'
  DB Sub: id=15, name='English', class='II', c_norm='II', s_norm='english'
  DB Sub: id=16, name='Bengali', class='II', c_norm='II', s_norm='bengali'
  DB Sub: id=17, name='Arabic', class='II', c_norm='II', s_norm='arabic'
  DB Sub: id=18, name='Mathematics', class='II', c_norm='II', s_norm='mathematics'
  DB Sub: id=19, name='Science', class='II', c_norm='II', s_norm='science'
  DB Sub: id=20, name='G.K.', class='II', c_norm='II', s_norm='general knowledge'
  DB Sub: id=21, name='E.V.S', class='II', c_norm='II', s_norm='science'
  DB Sub: id=22, name='Hindi', class='II', c_norm='II', s_norm='hindi'
  DB Sub: id=23, name='Art', class='II', c_norm='II', s_norm='art'
  DB Sub: id=24, name='Physical Education', class='II', c_norm='II', s_norm='physical education'
  DB Sub: id=25, name='Work Education', class='II', c_norm='II', s_norm='work education'
  DB Sub: id=26, name='Hand Writing', class='II', c_norm='II', s_norm='hand writing'
  DB Sub: id=27, name='Behaviour', class='II', c_norm='II', s_norm='behaviour'
  DB Sub: id=28, name='Attendance', class='II', c_norm='II', s_norm='attendance'
  DB Sub: id=29, name='English', class='III', c_norm='III', s_norm='english'
  DB Sub: id=30, name='Bengali', class='III', c_norm='III', s_norm='bengali'
  DB Sub: id=31, name='Arabic', class='III', c_norm='III', s_norm='arabic'
  DB Sub: id=32, name='Mathematics', class='III', c_norm='III', s_norm='mathematics'
  DB Sub: id=33, name='Science', class='III', c_norm='III', s_norm='science'
  DB Sub: id=34, name='G.K.', class='III', c_norm='III', s_norm='general knowledge'
  DB Sub: id=35, name='E.V.S', class='III', c_norm='III', s_norm='science'
